candidate_id,sob_id,Z,N,A,P_address,quark_address,radix_cycle,radix_slot,shell_period,shell_capacity,shell_occupancy,shell_status,residual_twelfths,constant_native_lane,G_fraction,GR_fraction,retained_7G_fraction,reference_clock,selector_neutral_vector_cardinality_z_le_81,selector_tensor_alpha_boundary_z_le_83,selector_carrier_hidden_clock,selector_wc_no_alpha_bridge_with_main_holes,selector_wc_no_hole_rejector,selector_wc_holes_without_alpha_offset,selector_wc_single_hole_no_tensor_shift,native_hole_rejector,native_hole_formula,construction_note
CR225-Z083,SOB83,83,124,207,83p+124n+83e,290u+331d+83e,7,11,5,32,23,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,591203/768,591203/96,4138421/768,stable,no,yes,yes,no,yes,yes,yes,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z084,SOB84,84,126,210,84p+126n+84e,294u+336d+84e,7,12,5,32,24,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,49861/64,49861/8,349027/64,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z085,SOB85,85,134,219,85p+134n+85e,304u+353d+85e,8,1,5,32,25,OPEN_SHELL,7,CONSTANT_BOUND_LADDER_LANE,605533/768,605533/96,4238731/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z086,SOB86,86,136,222,86p+136n+86e,308u+358d+86e,8,2,5,32,26,OPEN_SHELL,2,CONSTANT_BOUND_LADDER_LANE,306331/384,306331/48,2144317/384,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z087,SOB87,87,137,224,87p+137n+87e,311u+361d+87e,8,3,5,32,27,OPEN_SHELL,9,CONSTANT_BOUND_LADDER_LANE,206593/256,206593/32,1446151/256,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z088,SOB88,88,139,227,88p+139n+88e,315u+366d+88e,8,4,5,32,28,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,156727/192,156727/24,1097089/192,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z089,SOB89,89,140,229,89p+140n+89e,318u+369d+89e,8,5,5,32,29,OPEN_SHELL,11,CONSTANT_BOUND_LADDER_LANE,634025/768,634025/96,4438175/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z090,SOB90,90,142,232,90p+142n+90e,322u+374d+90e,8,6,5,32,30,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,106859/128,106859/16,748013/128,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z091,SOB91,91,144,235,91p+144n+91e,326u+379d+91e,8,7,5,32,31,OPEN_SHELL,1,CONSTANT_BOUND_LADDER_LANE,648283/768,648283/96,4537981/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z092,SOB92,92,145,237,92p+145n+92e,329u+382d+92e,8,8,5,32,32,CLOSED_SHELL,8,CONSTANT_BOUND_LADDER_LANE,81925/96,81925/12,573475/96,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z093,SOB93,93,147,240,93p+147n+93e,333u+387d+93e,8,9,6,18,1,OPEN_SHELL,3,CONSTANT_BOUND_LADDER_LANE,220843/256,220843/32,1545901/256,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z094,SOB94,94,148,242,94p+148n+94e,336u+390d+94e,8,10,6,18,2,OPEN_SHELL,10,CONSTANT_BOUND_LADDER_LANE,334823/384,334823/48,2343761/384,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z095,SOB95,95,150,245,95p+150n+95e,340u+395d+95e,8,11,6,18,3,OPEN_SHELL,5,CONSTANT_BOUND_LADDER_LANE,676775/768,676775/96,4737425/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z096,SOB96,96,152,248,96p+152n+96e,344u+400d+96e,8,12,6,18,4,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,1781/2,7124,12467/2,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z097,SOB97,97,161,258,97p+161n+97e,355u+419d+97e,9,1,6,18,5,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,691117/768,691117/96,4837819/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z098,SOB98,98,163,261,98p+163n+98e,359u+424d+98e,9,2,6,18,6,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,349123/384,349123/48,2443861/384,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z099,SOB99,99,165,264,99p+165n+99e,363u+429d+99e,9,3,6,18,7,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,235125/256,235125/32,1645875/256,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z100,SOB100,100,166,266,100p+166n+100e,366u+432d+100e,9,4,6,18,8,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,178123/192,178123/24,1246861/192,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z101,SOB101,101,168,269,101p+168n+101e,370u+437d+101e,9,5,6,18,9,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,719621/768,719621/96,5037347/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z102,SOB102,102,170,272,102p+170n+102e,374u+442d+102e,9,6,6,18,10,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,121125/128,121125/16,847875/128,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z103,SOB103,103,171,274,103p+171n+103e,377u+445d+103e,9,7,6,18,11,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,733867/768,733867/96,5137069/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z104,SOB104,104,173,277,104p+173n+104e,381u+450d+104e,9,8,6,18,12,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,185249/192,185249/24,1296743/192,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z105,SOB105,105,175,280,105p+175n+105e,385u+455d+105e,9,9,6,18,13,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,249375/256,249375/32,1745625/256,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z106,SOB106,106,176,282,106p+176n+106e,388u+458d+106e,9,10,6,18,14,OPEN_SHELL,8,CONSTANT_BOUND_LADDER_LANE,377621/384,377621/48,2643347/384,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z107,SOB107,107,178,285,107p+178n+107e,392u+463d+107e,9,11,6,18,15,OPEN_SHELL,4,CONSTANT_BOUND_LADDER_LANE,762371/768,762371/96,5336597/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z108,SOB108,108,180,288,108p+180n+108e,396u+468d+108e,9,12,6,18,16,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,64125/64,64125/8,448875/64,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z109,SOB109,109,190,299,109p+190n+109e,408u+489d+109e,10,1,6,18,17,OPEN_SHELL,9,CONSTANT_BOUND_LADDER_LANE,776725/768,776725/96,5437075/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z110,SOB110,110,192,302,110p+192n+110e,412u+494d+110e,10,2,6,18,18,CLOSED_SHELL,6,CONSTANT_HALF_WRITE_LANE,391927/384,391927/48,2743489/384,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z111,SOB111,111,194,305,111p+194n+111e,416u+499d+111e,10,3,7,8,1,OPEN_SHELL,3,CONSTANT_BOUND_LADDER_LANE,263661/256,263661/32,1845627/256,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z112,SOB112,112,196,308,112p+196n+112e,420u+504d+112e,10,4,7,8,2,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,24941/24,24941/3,174587/24,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z113,SOB113,113,197,310,113p+197n+113e,423u+507d+113e,10,5,7,8,3,OPEN_SHELL,9,CONSTANT_BOUND_LADDER_LANE,805229/768,805229/96,5636603/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z114,SOB114,114,199,313,114p+199n+114e,427u+512d+114e,10,6,7,8,4,OPEN_SHELL,6,CONSTANT_HALF_WRITE_LANE,135393/128,135393/16,947751/128,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z115,SOB115,115,201,316,115p+201n+115e,431u+517d+115e,10,7,7,8,5,OPEN_SHELL,3,CONSTANT_BOUND_LADDER_LANE,819487/768,819487/96,5736409/768,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z116,SOB116,116,203,319,116p+203n+116e,435u+522d+116e,10,8,7,8,6,OPEN_SHELL,0,CONSTANT_STABLE_ANCHOR_LANE,103327/96,103327/12,723289/96,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z117,SOB117,117,204,321,117p+204n+117e,438u+525d+117e,10,9,7,8,7,OPEN_SHELL,9,CONSTANT_BOUND_LADDER_LANE,277911/256,277911/32,1945377/256,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z118,SOB118,118,206,324,118p+206n+118e,442u+530d+118e,10,10,7,8,8,CLOSED_SHELL,6,CONSTANT_HALF_WRITE_LANE,420431/384,420431/48,2943017/384,radioactive,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z119,SOB119,119,208,327,119p+208n+119e,446u+535d+119e,10,11,8,8,1,OPEN_SHELL,3,CONSTANT_FRONTIER_TAIL_CANDIDATE,847991/768,847991/96,5935937/768,frontier,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z120,SOB120,120,210,330,120p+210n+120e,450u+540d+120e,10,12,8,8,2,OPEN_SHELL,0,CONSTANT_FRONTIER_TAIL_CANDIDATE,17815/16,17815/2,124705/16,frontier,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z121,SOB121,121,221,342,121p+221n+121e,463u+563d+121e,11,1,8,8,3,OPEN_SHELL,10,CONSTANT_FRONTIER_TAIL_CANDIDATE,862357/768,862357/96,6036499/768,frontier,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z122,SOB122,122,223,345,122p+223n+122e,467u+568d+122e,11,2,8,8,4,OPEN_SHELL,8,CONSTANT_FRONTIER_TAIL_CANDIDATE,434743/384,434743/48,3043201/384,frontier,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z123,SOB123,123,225,348,123p+225n+123e,471u+573d+123e,11,3,8,8,5,OPEN_SHELL,6,CONSTANT_FRONTIER_TAIL_CANDIDATE,292205/256,292205/32,2045435/256,frontier,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z124,SOB124,124,227,351,124p+227n+124e,475u+578d+124e,11,4,8,8,6,OPEN_SHELL,4,CONSTANT_FRONTIER_TAIL_CANDIDATE,27617/24,27617/3,193319/24,frontier,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z125,SOB125,125,229,354,125p+229n+125e,479u+583d+125e,11,5,8,8,7,OPEN_SHELL,2,CONSTANT_FRONTIER_TAIL_CANDIDATE,890873/768,890873/96,6236111/768,frontier,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
CR225-Z126,SOB126,126,231,357,126p+231n+126e,483u+588d+126e,11,6,8,8,8,CLOSED_SHELL,0,CONSTANT_FRONTIER_TAIL_CANDIDATE,149667/128,149667/16,1047669/128,frontier,no,no,no,no,no,no,no,no,,"Reference CLOCK is scoring-only; candidate selector uses carrier/hidden constants, not labels/cards"
